epoch,loss,acc
402,0.277,0.86
403,0.2767,0.86
404,0.276,0.86
405,0.276,0.86
406,0.2765,0.86
407,0.2759,0.86
408,0.2761,0.86
409,0.2755,0.86
410,0.2763,0.86
411,0.276,0.85
412,0.275,0.85
413,0.2747,0.86
414,0.2745,0.86
415,0.2745,0.86
416,0.274,0.86
417,0.2743,0.86
418,0.2743,0.86
419,0.2751,0.85
420,0.2747,0.85
421,0.2755,0.86
422,0.2747,0.86
423,0.2747,0.86
424,0.2743,0.86
425,0.2735,0.85
426,0.2737,0.85
427,0.2733,0.85
428,0.2727,0.86
429,0.2727,0.86
430,0.2736,0.86
431,0.2737,0.86
432,0.2738,0.86
433,0.2748,0.86
434,0.2753,0.86
435,0.2736,0.86
436,0.2724,0.86
437,0.2722,0.86
438,0.2719,0.86
439,0.2716,0.86
440,0.2711,0.86
441,0.2713,0.85
442,0.2713,0.85
443,0.2711,0.85
444,0.2712,0.85
445,0.271,0.85
446,0.2709,0.85
447,0.2706,0.85
448,0.2706,0.86
449,0.2709,0.86
450,0.271,0.86
451,0.2703,0.86
452,0.2702,0.86
453,0.2702,0.86
454,0.27,0.86
455,0.2699,0.86
456,0.2694,0.86
457,0.2698,0.86
458,0.2698,0.86
459,0.2694,0.86
460,0.2699,0.86
461,0.2695,0.86
462,0.2691,0.86
463,0.269,0.85
464,0.2692,0.85
465,0.2689,0.85
466,0.2688,0.85
467,0.2685,0.85
468,0.2694,0.85
469,0.2689,0.84
470,0.2689,0.84
471,0.2687,0.84
472,0.268,0.85
473,0.268,0.86
474,0.2701,0.86
475,0.2712,0.86
476,0.2722,0.86
477,0.2729,0.86
478,0.274,0.86
479,0.2712,0.86
480,0.2697,0.86
481,0.2678,0.86
482,0.268,0.86
483,0.2672,0.86
484,0.2676,0.85
485,0.2672,0.86
486,0.2674,0.86
487,0.2672,0.86
488,0.2669,0.85
489,0.2667,0.85
490,0.2669,0.85
491,0.2673,0.84
492,0.2675,0.81
493,0.2675,0.81
494,0.2673,0.84
495,0.2668,0.85
496,0.2665,0.85
497,0.2663,0.85
498,0.2661,0.86
499,0.2659,0.86
500,0.2657,0.86
501,0.2658,0.86
502,0.2659,0.86
503,0.266,0.86
504,0.2676,0.86
505,0.2678,0.86
506,0.2692,0.86
507,0.2684,0.86
508,0.2665,0.86
509,0.2668,0.86
510,0.2662,0.86
511,0.2657,0.84
512,0.2663,0.82
513,0.2669,0.79
514,0.268,0.82
515,0.2688,0.82
516,0.2692,0.82
517,0.2679,0.82
518,0.2673,0.82
519,0.2671,0.82
520,0.2668,0.82
521,0.2657,0.83
522,0.2652,0.83
523,0.2646,0.85
524,0.2647,0.84
525,0.2641,0.84
526,0.2638,0.84
527,0.2635,0.84
528,0.2633,0.85
529,0.2633,0.85
530,0.2631,0.85
531,0.2632,0.82
532,0.264,0.83
533,0.2636,0.84
534,0.2633,0.84
535,0.264,0.85
536,0.263,0.86
537,0.2634,0.86
538,0.2635,0.86
539,0.2634,0.86
540,0.2627,0.86
541,0.2629,0.86
542,0.263,0.86
543,0.2628,0.86
544,0.2634,0.86
545,0.2631,0.86
546,0.2633,0.86
547,0.2628,0.86
548,0.2624,0.86
549,0.2622,0.86
550,0.2624,0.86
551,0.262,0.86
552,0.2621,0.86
553,0.2619,0.86
554,0.2616,0.86
555,0.2617,0.86
556,0.2622,0.86
557,0.2617,0.86
558,0.2616,0.85
559,0.2614,0.86
560,0.2615,0.86
561,0.2613,0.86
562,0.261,0.86
563,0.2611,0.85
564,0.2609,0.84
565,0.261,0.84
566,0.2613,0.81
567,0.261,0.82
568,0.2609,0.82
569,0.2601,0.84
570,0.2613,0.85
571,0.2625,0.86
572,0.2618,0.86
573,0.263,0.86
574,0.2633,0.86
575,0.2619,0.86
576,0.2603,0.86
577,0.2605,0.84
578,0.2599,0.83
579,0.2601,0.82
580,0.2604,0.83
581,0.2604,0.83
582,0.2608,0.82
583,0.2605,0.82
584,0.2615,0.82
585,0.2615,0.82
586,0.2621,0.82
587,0.2634,0.82
588,0.2641,0.82
589,0.2638,0.82
590,0.2627,0.82
591,0.2615,0.82
592,0.2599,0.8
593,0.2596,0.83
594,0.2599,0.85
595,0.2596,0.86
596,0.2594,0.85
597,0.2598,0.85
598,0.2594,0.86
599,0.2595,0.86
600,0.2601,0.86
601,0.2601,0.86
602,0.259,0.86
603,0.259,0.86
604,0.2588,0.86
605,0.2594,0.85
606,0.2586,0.86
607,0.2591,0.86
608,0.2581,0.86
609,0.2589,0.85
610,0.2581,0.85
611,0.2583,0.84
612,0.2584,0.83
613,0.2583,0.84
614,0.258,0.84
615,0.2579,0.84
616,0.2579,0.84
617,0.2577,0.84
618,0.2571,0.86
619,0.2597,0.86
620,0.2602,0.86
621,0.2609,0.86
622,0.2609,0.86
623,0.2601,0.86
624,0.2601,0.86
625,0.26,0.86
626,0.2598,0.86
627,0.2601,0.86
628,0.2603,0.86
629,0.2603,0.86
630,0.26,0.86
631,0.2602,0.86
632,0.2599,0.86
633,0.2594,0.86
634,0.2602,0.86
635,0.2603,0.86
636,0.26,0.86
637,0.2586,0.86
638,0.2581,0.86
639,0.2573,0.86
640,0.2578,0.86
641,0.2582,0.86
642,0.2577,0.86
643,0.2572,0.85
644,0.2568,0.85
645,0.2577,0.82
646,0.2571,0.83
647,0.2571,0.82
648,0.2572,0.82
649,0.2572,0.82
650,0.2575,0.82
651,0.2582,0.82
652,0.2598,0.81
653,0.261,0.81
654,0.2615,0.82
655,0.2618,0.81
656,0.2606,0.82
657,0.2595,0.82
658,0.2578,0.82
659,0.2569,0.82
660,0.2559,0.83
661,0.2562,0.83
662,0.256,0.82
663,0.2558,0.83
664,0.2552,0.83
665,0.2551,0.83
666,0.2552,0.84
667,0.2553,0.86
668,0.256,0.86
669,0.2571,0.86
670,0.2568,0.86
671,0.2566,0.86
672,0.2562,0.86
673,0.256,0.85
674,0.2551,0.85
675,0.2561,0.85
676,0.2554,0.85
677,0.2546,0.84
678,0.2545,0.85
679,0.2542,0.83
680,0.2545,0.82
681,0.2543,0.83
682,0.2541,0.85
683,0.2559,0.86
684,0.2553,0.86
685,0.2547,0.86
686,0.2543,0.86
687,0.2543,0.85
688,0.2546,0.82
689,0.2543,0.81
690,0.2544,0.82
691,0.2543,0.84
692,0.2531,0.85
693,0.2545,0.86
694,0.2552,0.86
695,0.2561,0.86
696,0.2565,0.86
697,0.2573,0.86
698,0.2568,0.85
699,0.2563,0.85
700,0.2552,0.85
701,0.2549,0.87
702,0.2545,0.86
703,0.2544,0.86
704,0.2543,0.86
705,0.2544,0.86
706,0.2548,0.86
707,0.2547,0.86
708,0.2548,0.86
709,0.255,0.86
710,0.2548,0.85
711,0.2541,0.84
712,0.2533,0.86
713,0.2568,0.85
714,0.2573,0.85
715,0.2569,0.85
716,0.2573,0.85
717,0.2579,0.85
718,0.2568,0.85
719,0.2543,0.86
720,0.254,0.86
721,0.2526,0.84
722,0.2524,0.84
723,0.2523,0.83
724,0.2522,0.83
725,0.2523,0.83
726,0.2522,0.84
727,0.2522,0.84
728,0.2525,0.84
729,0.2523,0.84
730,0.2532,0.85
731,0.2536,0.86
732,0.2538,0.86
733,0.2534,0.86
734,0.2537,0.86
735,0.2538,0.86
736,0.2523,0.85
737,0.2522,0.85
738,0.2519,0.85
739,0.2526,0.86
740,0.2523,0.86
741,0.2532,0.86
742,0.2533,0.87
743,0.2522,0.86
744,0.2534,0.85
745,0.2519,0.85
746,0.2526,0.84
747,0.2529,0.83
748,0.2525,0.83
749,0.2529,0.83
750,0.2526,0.85
751,0.253,0.85
752,0.2542,0.85
753,0.2552,0.87
754,0.2556,0.87
755,0.2554,0.87
756,0.2558,0.87
757,0.2555,0.87
758,0.2542,0.86
759,0.2507,0.83
760,0.2501,0.82
761,0.252,0.81
762,0.2527,0.81
763,0.2548,0.82
764,0.2551,0.82
765,0.2539,0.83
766,0.253,0.82
767,0.2529,0.82
768,0.2522,0.82
769,0.2517,0.82
770,0.2509,0.81
771,0.2496,0.82
772,0.2494,0.81
773,0.249,0.83
774,0.2493,0.83
775,0.2499,0.84
776,0.2499,0.85
777,0.251,0.84
778,0.2505,0.84
779,0.2511,0.84
780,0.2496,0.83
781,0.2493,0.83
782,0.2499,0.85
783,0.2493,0.83
784,0.2489,0.82
785,0.248,0.83
786,0.2485,0.84
787,0.2492,0.85
788,0.2499,0.87
789,0.2494,0.86
790,0.2496,0.86
791,0.2498,0.85
792,0.2498,0.86
793,0.2507,0.85
794,0.2505,0.85
795,0.2499,0.87
796,0.2496,0.86
797,0.2491,0.86
798,0.2476,0.86
799,0.2469,0.86
800,0.2468,0.86
801,0.2469,0.86
802,0.2467,0.87
803,0.2481,0.86
804,0.2476,0.85
805,0.2478,0.85
806,0.2472,0.87
807,0.2472,0.85
808,0.2465,0.85
809,0.246,0.86
810,0.2439,0.85
811,0.2449,0.85
812,0.2457,0.86
813,0.2454,0.87
814,0.2458,0.87
815,0.2453,0.87
816,0.2461,0.88
817,0.2471,0.87
818,0.2469,0.87
819,0.2481,0.87
820,0.2457,0.88
821,0.2438,0.88
822,0.2415,0.89
823,0.2449,0.87
824,0.2482,0.85
825,0.25,0.86
826,0.2516,0.86
827,0.2504,0.85
828,0.2488,0.85
829,0.2494,0.86
830,0.249,0.85
831,0.245,0.86
832,0.2451,0.87
833,0.2426,0.88
834,0.2421,0.87
835,0.2418,0.87
836,0.2418,0.88
837,0.2419,0.88
838,0.2412,0.88
839,0.2407,0.88
840,0.2415,0.9
